"Año","Subcategorías","Producto","Porcentaje","Categorías"
"2015","Tenencia Nacional","Tenencia",68,"Tienen un Producto Financiero"
"2015","Tenencia Nacional","Cuenta",44,"Tienen un Producto Financiero"
"2015","Tenencia Nacional","Crédito.Formal",29,"Tienen un Producto Financiero"
"2015","Tenencia Nacional","Seguro",25,"Tienen un Producto Financiero"
"2015","Tenencia Nacional","Afore",41,"Tienen un Producto Financiero"
"2018","Tenencia Nacional","Tenencia",68,"Tienen un Producto Financiero"
"2018","Tenencia Nacional","Cuenta",47,"Tienen un Producto Financiero"
"2018","Tenencia Nacional","Crédito.Formal",31,"Tienen un Producto Financiero"
"2018","Tenencia Nacional","Seguro",25,"Tienen un Producto Financiero"
"2018","Tenencia Nacional","Afore",40,"Tienen un Producto Financiero"
"2021","Tenencia Nacional","Tenencia",68,"Tienen un Producto Financiero"
"2021","Tenencia Nacional","Cuenta",49,"Tienen un Producto Financiero"
"2021","Tenencia Nacional","Crédito.Formal",33,"Tienen un Producto Financiero"
"2021","Tenencia Nacional","Seguro",21,"Tienen un Producto Financiero"
"2021","Tenencia Nacional","Afore",39,"Tienen un Producto Financiero"
"2015","Hombre","Tenencia",72,"Sexo"
"2015","Hombre","Cuenta",46,"Sexo"
"2015","Hombre","Crédito.Formal",29,"Sexo"
"2015","Hombre","Seguro",28,"Sexo"
"2015","Hombre","Afore",50,"Sexo"
"2018","Hombre","Tenencia",72,"Sexo"
"2018","Hombre","Cuenta",48,"Sexo"
"2018","Hombre","Crédito.Formal",33,"Sexo"
"2018","Hombre","Seguro",28,"Sexo"
"2018","Hombre","Afore",49,"Sexo"
"2021","Hombre","Tenencia",74,"Sexo"
"2021","Hombre","Cuenta",56,"Sexo"
"2021","Hombre","Crédito.Formal",34,"Sexo"
"2021","Hombre","Seguro",26,"Sexo"
"2021","Hombre","Afore",49,"Sexo"
"2015","Mujer","Tenencia",65,"Sexo"
"2015","Mujer","Cuenta",42,"Sexo"
"2015","Mujer","Crédito.Formal",29,"Sexo"
"2015","Mujer","Seguro",22,"Sexo"
"2015","Mujer","Afore",33,"Sexo"
"2018","Mujer","Tenencia",65,"Sexo"
"2018","Mujer","Cuenta",46,"Sexo"
"2018","Mujer","Crédito.Formal",29,"Sexo"
"2018","Mujer","Seguro",23,"Sexo"
"2018","Mujer","Afore",31,"Sexo"
"2021","Mujer","Tenencia",62,"Sexo"
"2021","Mujer","Cuenta",43,"Sexo"
"2021","Mujer","Crédito.Formal",32,"Sexo"
"2021","Mujer","Seguro",16,"Sexo"
"2021","Mujer","Afore",31,"Sexo"
"2018","Centro Sur y Oriente","Tenencia",60,"Región"
"2018","Centro Sur y Oriente","Cuenta",40,"Región"
"2018","Centro Sur y Oriente","Crédito.Formal",29,"Región"
"2018","Centro Sur y Oriente","Seguro",16,"Región"
"2018","Centro Sur y Oriente","Afore",32,"Región"
"2018","Ciudad de México","Tenencia",72,"Región"
"2018","Ciudad de México","Cuenta",56,"Región"
"2018","Ciudad de México","Crédito.Formal",28,"Región"
"2018","Ciudad de México","Seguro",27,"Región"
"2018","Ciudad de México","Afore",50,"Región"
"2018","Noreste","Tenencia",75,"Región"
"2018","Noreste","Cuenta",51,"Región"
"2018","Noreste","Crédito.Formal",39,"Región"
"2018","Noreste","Seguro",25,"Región"
"2018","Noreste","Afore",47,"Región"
"2018","Noroeste","Tenencia",82,"Región"
"2018","Noroeste","Cuenta",60,"Región"
"2018","Noroeste","Crédito.Formal",41,"Región"
"2018","Noroeste","Seguro",29,"Región"
"2018","Noroeste","Afore",49,"Región"
"2018","Occidente y Bajío","Tenencia",67,"Región"
"2018","Occidente y Bajío","Cuenta",43,"Región"
"2018","Occidente y Bajío","Crédito.Formal",35,"Región"
"2018","Occidente y Bajío","Seguro",22,"Región"
"2018","Occidente y Bajío","Afore",41,"Región"
"2018","Sur","Tenencia",68,"Región"
"2018","Sur","Cuenta",49,"Región"
"2018","Sur","Crédito.Formal",27,"Región"
"2018","Sur","Seguro",16,"Región"
"2018","Sur","Afore",30,"Región"
"2021","Centro Sur y Oriente","Tenencia",62,"Región"
"2021","Centro Sur y Oriente","Cuenta",43,"Región"
"2021","Centro Sur y Oriente","Crédito.Formal",28,"Región"
"2021","Centro Sur y Oriente","Seguro",20,"Región"
"2021","Centro Sur y Oriente","Afore",32,"Región"
"2021","Ciudad de México","Tenencia",74,"Región"
"2021","Ciudad de México","Cuenta",59,"Región"
"2021","Ciudad de México","Crédito.Formal",29,"Región"
"2021","Ciudad de México","Seguro",30,"Región"
"2021","Ciudad de México","Afore",47,"Región"
"2021","Noreste","Tenencia",77,"Región"
"2021","Noreste","Cuenta",57,"Región"
"2021","Noreste","Crédito.Formal",39,"Región"
"2021","Noreste","Seguro",30,"Región"
"2021","Noreste","Afore",51,"Región"
"2021","Noroeste","Tenencia",76,"Región"
"2021","Noroeste","Cuenta",58,"Región"
"2021","Noroeste","Crédito.Formal",40,"Región"
"2021","Noroeste","Seguro",36,"Región"
"2021","Noroeste","Afore",58,"Región"
"2021","Occidente y Bajío","Tenencia",69,"Región"
"2021","Occidente y Bajío","Cuenta",49,"Región"
"2021","Occidente y Bajío","Crédito.Formal",28,"Región"
"2021","Occidente y Bajío","Seguro",24,"Región"
"2021","Occidente y Bajío","Afore",37,"Región"
"2021","Sur","Tenencia",60,"Región"
"2021","Sur","Cuenta",42,"Región"
"2021","Sur","Crédito.Formal",29,"Región"
"2021","Sur","Seguro",24,"Región"
"2021","Sur","Afore",29,"Región"
"2015","Rural","Tenencia",75,"Área"
"2015","Rural","Cuenta",49,"Área"
"2015","Rural","Crédito.Formal",34,"Área"
"2015","Rural","Seguro",25,"Área"
"2015","Rural","Afore",50,"Área"
"2018","Rural","Tenencia",74,"Área"
"2018","Rural","Cuenta",51,"Área"
"2018","Rural","Crédito.Formal",36,"Área"
"2018","Rural","Seguro",29,"Área"
"2018","Rural","Afore",47,"Área"
"2021","Rural","Tenencia",74,"Área"
"2021","Rural","Cuenta",55,"Área"
"2021","Rural","Crédito.Formal",38,"Área"
"2021","Rural","Seguro",30,"Área"
"2021","Rural","Afore",47,"Área"
"2015","Urbano","Tenencia",56,"Área"
"2015","Urbano","Cuenta",35,"Área"
"2015","Urbano","Crédito.Formal",19,"Área"
"2015","Urbano","Seguro",13,"Área"
"2015","Urbano","Afore",25,"Área"
"2018","Urbano","Tenencia",57,"Área"
"2018","Urbano","Cuenta",39,"Área"
"2018","Urbano","Crédito.Formal",22,"Área"
"2018","Urbano","Seguro",18,"Área"
"2018","Urbano","Afore",25,"Área"
"2021","Urbano","Tenencia",56,"Área"
"2021","Urbano","Cuenta",38,"Área"
"2021","Urbano","Crédito.Formal",24,"Área"
"2021","Urbano","Seguro",15,"Área"
"2021","Urbano","Afore",25,"Área"
"2015","De 18 a 29 años","Tenencia",61,"Grupos Etarios"
"2015","De 18 a 29 años","Cuenta",40,"Grupos Etarios"
"2015","De 18 a 29 años","Crédito.Formal",26,"Grupos Etarios"
"2015","De 18 a 29 años","Seguro",22,"Grupos Etarios"
"2015","De 18 a 29 años","Afore",30,"Grupos Etarios"
"2015","De 30 a 44 años","Tenencia",75,"Grupos Etarios"
"2015","De 30 a 44 años","Cuenta",47,"Grupos Etarios"
"2015","De 30 a 44 años","Crédito.Formal",33,"Grupos Etarios"
"2015","De 30 a 44 años","Seguro",28,"Grupos Etarios"
"2015","De 30 a 44 años","Afore",53,"Grupos Etarios"
"2015","De 45 a 59 años","Tenencia",70,"Grupos Etarios"
"2015","De 45 a 59 años","Cuenta",41,"Grupos Etarios"
"2015","De 45 a 59 años","Crédito.Formal",30,"Grupos Etarios"
"2015","De 45 a 59 años","Seguro",26,"Grupos Etarios"
"2015","De 45 a 59 años","Afore",47,"Grupos Etarios"
"2015","Mayor a 60","Tenencia",65,"Grupos Etarios"
"2015","Mayor a 60","Cuenta",51,"Grupos Etarios"
"2015","Mayor a 60","Crédito.Formal",22,"Grupos Etarios"
"2015","Mayor a 60","Seguro",18,"Grupos Etarios"
"2015","Mayor a 60","Afore",21,"Grupos Etarios"
"2018","De 18 a 29 años","Tenencia",60,"Grupos Etarios"
"2018","De 18 a 29 años","Cuenta",42,"Grupos Etarios"
"2018","De 18 a 29 años","Crédito.Formal",26,"Grupos Etarios"
"2018","De 18 a 29 años","Seguro",21,"Grupos Etarios"
"2018","De 18 a 29 años","Afore",30,"Grupos Etarios"
"2018","De 30 a 44 años","Tenencia",74,"Grupos Etarios"
"2018","De 30 a 44 años","Cuenta",50,"Grupos Etarios"
"2018","De 30 a 44 años","Crédito.Formal",37,"Grupos Etarios"
"2018","De 30 a 44 años","Seguro",29,"Grupos Etarios"
"2018","De 30 a 44 años","Afore",52,"Grupos Etarios"
"2018","De 45 a 59 años","Tenencia",72,"Grupos Etarios"
"2018","De 45 a 59 años","Cuenta",46,"Grupos Etarios"
"2018","De 45 a 59 años","Crédito.Formal",35,"Grupos Etarios"
"2018","De 45 a 59 años","Seguro",29,"Grupos Etarios"
"2018","De 45 a 59 años","Afore",43,"Grupos Etarios"
"2018","Mayor a 60","Tenencia",65,"Grupos Etarios"
"2018","Mayor a 60","Cuenta",53,"Grupos Etarios"
"2018","Mayor a 60","Crédito.Formal",21,"Grupos Etarios"
"2018","Mayor a 60","Seguro",19,"Grupos Etarios"
"2018","Mayor a 60","Afore",18,"Grupos Etarios"
"2021","De 18 a 29 años","Tenencia",64,"Grupos Etarios"
